species,lat,lon
species,-38.573,145.503
species,-34.7333,173.1333
species,-42.173639,148.278393
species,-40.878346,147.584669
species,-43.187809,147.844353
species,-43.120235,147.718039
species,-39.851032,147.78335
species,-41.039349,146.843096
species,-40.431028,148.038795
species,-40.445213,148.325551
species,-40.79514,148.089493
species,-40.43909,148.459842
species,-40.794878,147.94547
species,-40.211854,148.328044
species,-40.010756,147.874221
species,-40.053939,143.911032
species,-39.696667,143.889719
species,-40.733959,148.109811
species,-40.469041,144.860384
species,-43.178741,147.852841
species,-43.052218,147.790919
species,-40.449895,144.94707
species,-43.088088,147.673433
species,-43.453575,147.254764
species,-39.851901,147.788036
species,-39.761129,147.881562
species,-41.332646,144.754686
species,-43.541124,146.082951
species,-40.309595,148.288769
species,-40.070003,148.284241
species,-43.434949,146.990263
species,-39.951795,143.864139
species,-40.433711,144.849716
species,-41.244041,144.69209
species,-39.761147,147.879228
species,-41.100082,146.678616
species,-39.938768,148.170594
species,-43.460484,146.022365
species,-43.463238,146.028501
species,-41.159244,146.234938
species,-43.50299,146.158986
species,-41.084053,146.753699
species,-41.142177,146.600956
species,-43.582569,146.892387
species,-40.899381,145.537492
species,-40.112141,148.302634
species,-40.067287,148.285363
species,-40.030277,147.913146
species,-40.081304,147.953705
species,-40.244948,148.184082
species,-41.039324,144.635021
species,-41.0384,144.633864
species,-41.096475,146.033238
species,-41.114371,146.636858
species,-40.952724,144.628611
species,-41.07675,146.712061
species,-41.063513,148.296236
species,-41.229365,148.286382
species,-42.572282,145.301647
species,-41.216091,144.690688
species,-41.12833,144.671136
species,-40.873181,144.703837
species,-40.945352,144.62056
species,-41.644426,148.30181
species,-41.824052,148.26691
species,-42.581262,147.909238
species,-41.931689,148.306429
species,-42.639526,147.943019
species,-42.402337,147.983204
species,-42.234509,148.019375
species,-42.198569,148.280421
species,-37.7422,149.5183
species,-37.7394,149.5183
species,-37.7327,149.5338
species,-37.7377,149.5205
species,-41.243677,172.099462
species,-43.540234,146.084203
species,-36.784307,149.950752
species,-36.784316,149.950741
species,-36.784325,149.95073
species,-43.4833,146.2333
species,-34.582593,150.874017
species,-21.290237,149.242481
species,-21.09597,149.224992
species,-22.373562,150.6758
species,-22.373421,150.676067
species,-21.095833,149.225261
species,-21.2901,149.24275
species,-26.500897,153.08577
species,-38.8635,146.3551
species,-34.582594,150.874015
species,-23.306887,151.925786
species,-23.306747,151.926059
species,-33.408384,151.468646
species,-32.71819,134.10086
species,-34.505279,150.886874
species,-43.351398,147.366047
species,-43.35152,147.366624
species,-37.89,147.97
species,-38.5872,142.8133
species,-34.505281,150.886872
species,-38.02669,140.57771
species,-42.962783,147.537148
species,-24.123548,152.725779
species,-24.123407,152.726049
species,-42.962739,147.53719
species,-40.813411,145.080545
species,-32.397,152.518
species,-30.059444,153.196944
species,-23.3,151.92
species,-23.541054,151.725235
species,-23.305278,151.916389
species,-23.442778,151.915
species,-23.540917,151.725504
species,-23.305278,151.916389
species,-23.442778,151.915
species,-43.27636,147.157896
species,-33.952424,151.218758
species,-33.120594,151.647508
species,-33.130276,151.642107
species,-33.083333,151.65
species,-38.7041,143.1594
species,-33.369842,151.487608
species,-23.806944,152.291111
species,-23.8069,152.2911
species,-23.296667,151.708056
species,-23.247222,151.778333
species,-23.905217,152.393005
species,-23.805496,152.291895
species,-23.333333,151.958056
species,-23.905076,152.393277
species,-23.805354,152.292165
species,-23.333333,151.958056
species,-23.247222,151.778333
species,-23.296667,151.708056
species,-31.516413,159.066272
species,-31.516136,159.072105
species,-43.826983,172.705238
species,-33.366853,151.492891
species,-33.723626,151.300121
species,-35.545727,150.385653
species,-39.949998,148.350006
species,-43.506014,146.960414
species,-35.545726,150.385648
species,-33.988832,151.235043
species,-37.49458,149.97398
species,-33.619712,151.317795
species,-33.809248,151.296809
species,-34.483944,150.852571
species,-26.74054,153.133786
species,-27.390205,153.225788
species,-28.158155,153.510066
species,-26.740403,153.134057
species,-27.390069,153.226061
species,-28.158013,153.510342
species,-27.090199,153.445731
species,-40.899997,144.666656
species,-34.483946,150.852568
species,-34.035759,151.174949
species,-31.84818,152.740032
species,-33.805742,151.130988
species,-42.9667,147.3167
species,-42.977298,147.330954
species,-27.428891,153.541966
species,-27.428674,153.542167
species,-42.966668,147.316667
species,-32.667998,152.137259
species,-36.535234,150.051382
species,-35.379391,150.459178
