Year	Mean_OccupSuit	Std_error
567	0.000384245	0.000127398
568	0.000387075	0.000130967
569	0.000386509	0.00013195
570	0.000397261	0.000137701
571	0.000392734	0.000134617
572	0.000396129	0.000132549
573	0.000387641	0.00012846
574	0.000391036	0.000129817
575	0.000411409	0.000134073
576	0.000413106	0.000136316
577	0.000411974	0.000136656
578	0.000418765	0.000136642
579	0.000415936	0.000136178
580	0.000410277	0.00013586
581	0.000419331	0.000137115
582	0.000438572	0.000143988
583	0.000430083	0.00014229
584	0.000410277	0.000136021
585	0.000418199	0.000138214
586	0.000416502	0.000137413
587	0.000401222	0.000130766
588	0.000401222	0.000129912
589	0.000398959	0.000130395
590	0.0003933	0.000130057
591	0.000381982	0.000129748
592	0.000396129	0.000135685
593	0.000394432	0.000135031
594	0.000396129	0.000136225
595	0.000387075	0.000136359
596	0.000391036	0.000134721
597	0.000373493	0.000131577
598	0.000378586	0.000135151
599	0.000384245	0.000136358
600	0.000381982	0.000140105
601	0.000388773	0.000139604
602	0.000378586	0.000137392
603	0.000376889	0.000135014
604	0.000381416	0.000135724
605	0.000376323	0.000136074
606	0.000384245	0.000137358
607	0.000375757	0.000134486
608	0.000376889	0.000134999
609	0.000373493	0.000135126
610	0.000372927	0.000135444
611	0.000363873	0.000131265
612	0.000357082	0.000129197
613	0.000359912	0.000129206
614	0.000354253	0.000127292
615	0.000364439	0.000132108
616	0.000359912	0.000129412
617	0.000374625	0.000133667
618	0.0003684	0.000131541
619	0.000363307	0.000130546
620	0.000346896	0.000124122
621	0.000331617	0.000117176
622	0.000329919	0.000117917
623	0.000335578	0.00011856
624	0.000312942	0.000110468
625	0.000319167	0.000114208
626	0.000319733	0.000111893
627	0.000325392	0.000112746
628	0.000317469	0.000110276
629	0.000306151	0.000107994
630	0.000295965	0.000103914
631	0.00028974	0.00010186
632	0.000309547	0.000106911
633	0.000298229	0.00010388
634	0.000284647	9.96545e-05
635	0.000286911	9.75676e-05
636	0.000290306	9.80055e-05
637	0.000286911	9.5747e-05
638	0.000296531	9.93804e-05
639	0.000298795	9.96987e-05
640	0.000311244	0.00010552
641	0.00030219	0.000102151
642	0.00030219	0.00010078
643	0.000301624	0.000100197
644	0.000287477	9.54473e-05
645	0.000280686	9.32608e-05
646	0.00028012	9.42457e-05
647	0.000272197	9.17318e-05
648	0.000269368	9.08189e-05
649	0.000262577	8.82846e-05
650	0.000263709	8.81038e-05
651	0.00025805	8.73298e-05
652	0.000265407	9.00124e-05
653	0.000266538	9.0151e-05
