Year	Mean_OccupSuit	Std_error
732	0.0718329	0.0360427
733	0.0734501	0.0369185
734	0.0725067	0.0376854
735	0.0700809	0.0362826
736	0.0702156	0.0362673
737	0.0702156	0.036768
738	0.0731806	0.0377289
739	0.0687332	0.0361036
740	0.0703504	0.0365838
741	0.0700809	0.0360863
742	0.0719677	0.0380125
743	0.0742588	0.0378232
744	0.0742588	0.0377206
745	0.0708895	0.0367887
746	0.0747978	0.0383513
747	0.0742588	0.0386497
748	0.0743935	0.0397541
749	0.0729111	0.0399737
750	0.0730458	0.0399339
751	0.0749326	0.0404084
752	0.0734501	0.039832
753	0.0749326	0.0404563
754	0.0742588	0.0401304
755	0.0760108	0.0403804
756	0.0753369	0.0400921
757	0.0773585	0.0412795
758	0.0774933	0.0419445
759	0.0781671	0.0426954
760	0.0795148	0.0426065
761	0.0784367	0.0424982
762	0.0752022	0.0411236
763	0.0746631	0.0412135
764	0.0738544	0.041201
765	0.0719677	0.0388101
766	0.072372	0.0392053
767	0.0722372	0.0393456
768	0.0731806	0.0404033
769	0.0731806	0.0397598
770	0.0734501	0.0395783
771	0.0745283	0.0411659
772	0.0770889	0.0429127
773	0.0738544	0.04127
774	0.0768194	0.0430803
775	0.0750674	0.0417635
776	0.0730458	0.0399986
777	0.0753369	0.0418236
778	0.0747978	0.041837
779	0.0777628	0.0438488
780	0.0778976	0.0429686
781	0.0819407	0.0451431
782	0.0836927	0.0461501
783	0.0858491	0.0471583
784	0.0859838	0.0479358
785	0.0816712	0.0465879
786	0.0792453	0.0457202
787	0.0796496	0.0459389
788	0.0812668	0.0466726
789	0.0804582	0.0464155
790	0.0791105	0.0462714
791	0.0807278	0.0474809
792	0.0760108	0.0453783
793	0.072372	0.0431739
794	0.0750674	0.0440715
795	0.0762803	0.044974
796	0.0793801	0.0472021
797	0.0783019	0.0458399
798	0.0809973	0.0469556
799	0.0781671	0.0457538
800	0.0766846	0.0446706
801	0.0774933	0.0458037
802	0.0795148	0.0466306
803	0.0792453	0.0461442
804	0.0811321	0.0469691
805	0.0819407	0.0471873
806	0.0814016	0.046909
807	0.0780323	0.0456361
808	0.0784367	0.0460658
809	0.0745283	0.044609
810	0.0760108	0.0457742
811	0.0761456	0.0454014
812	0.0745283	0.0445039
813	0.0784367	0.0463932
814	0.0765499	0.0449738
815	0.0773585	0.0451518
816	0.0777628	0.0455394
817	0.0778976	0.0461446
818	0.0772237	0.045871
819	0.0799191	0.0480746
820	0.0816712	0.0495201
821	0.0812668	0.0492884
822	0.0836927	0.0495357
823	0.0855795	0.0503146
824	0.0838275	0.0479926
825	0.082345	0.0481369
826	0.0819407	0.0482329
827	0.0793801	0.0465047
828	0.0784367	0.0459197
829	0.0804582	0.0466566
830	0.0816712	0.0464829
831	0.0818059	0.0473398
832	0.0828841	0.0481498
833	0.0792453	0.0461918
834	0.0807278	0.0472973
835	0.0815364	0.0475886
836	0.0842318	0.0491125
837	0.0832884	0.0489724
838	0.0830189	0.0472131
839	0.0855795	0.0482553
840	0.0796496	0.0453299
841	0.0778976	0.0449752
842	0.0778976	0.0451936
